City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Cheltenham,GB,16.77,few clouds,51.9,-2.0833,"Holiday Inn Express Cheltenham Town Centre, an IHG Hotel"
499,Kautokeino,NO,6.06,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
500,Szendro,HU,12.55,heavy intensity rain,48.4,20.7333,Vár-lak Vendégház
502,Gladstone,AU,16.96,clear sky,-23.85,151.25,Highpoint International Hotel
503,Trelew,AR,16.35,overcast clouds,-43.249,-65.3051,Hotel Touring Club
504,Jackson,US,17.86,clear sky,42.4165,-122.8345,Agate Village Apartments
506,Chicama,PE,14.3,broken clouds,-7.8447,-79.1469,Balihai Bungalows
510,Chingirlau,KZ,12.37,overcast clouds,51.095,54.0814,Хостыл Аққу
513,Zhaozhou,CN,14.99,broken clouds,45.6833,125.3167,East Hotel
518,Villablino,ES,17.68,broken clouds,42.9393,-6.3194,Hotel La Brañina
521,Aksay,RU,16.25,clear sky,47.26,39.87,Chernaya Zhemchuzhina
522,Saint-Augustin,CA,9.71,overcast clouds,51.226,-58.6502,Riverview Inn
524,Erenhot,CN,15.64,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
525,Port Macquarie,AU,12.16,clear sky,-31.4333,152.9167,Rydges Port Macquarie
527,Grindavik,IS,9.26,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
528,Asau,RO,16.51,broken clouds,46.4333,26.4,Casa Mika Ciobanus
533,Hastings,GB,16.07,broken clouds,50.8552,0.5729,Zanzibar Hotel
534,Nelson Bay,AU,14.44,clear sky,-32.7167,152.15,Mantra Nelson Bay
538,Barrie,CA,13.9,moderate rain,44.4001,-79.6663,Comfort Inn
539,Bonavista,CA,13.97,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
540,Palmer,US,19.02,overcast clouds,42.1584,-72.3287,Wedgewood Motel
556,Kholmogory,RU,7.81,overcast clouds,64.2229,41.656,Гостевая комната
559,Xinzhou,CN,15.25,clear sky,38.4092,112.7333,Shell Hotel - Xinzhou
563,Bantry,IE,15.59,overcast clouds,51.6833,-9.45,The Maritime Hotel
564,Krasnozerskoye,RU,9.8,overcast clouds,53.9828,79.2374,Hotel Tsentralniy
573,Iisalmi,FI,5.78,light rain,63.5592,27.1907,Original Sokos Hotel Koljonvirta
575,Alausi,EC,15.46,light rain,-2.2,-78.8333,Hotel Europa
579,Carballo,ES,18.89,few clouds,43.213,-8.691,Pazo do Souto
582,Mollendo,PE,18.44,scattered clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
583,Xuanhua,CN,17.12,clear sky,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
588,Port Arthur,CN,16.12,clear sky,38.8,121.2667,Friendship Hotel
593,Ankang,CN,17.12,scattered clouds,32.68,109.0172,安琪酒店
594,Oda,JP,19.78,overcast clouds,35.1833,132.5,Sky Hotel Oda
597,Takayama,JP,17.62,overcast clouds,36.1333,137.25,Country Hotel Takayama
598,Swellendam,ZA,16.78,overcast clouds,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
602,Northam,GB,14.66,overcast clouds,51.0333,-4.2167,Durrant House Hotel
605,Havre-Saint-Pierre,CA,10.2,overcast clouds,50.2334,-63.5986,Auberge Niapiskau 2
612,Shaunavon,CA,12.88,few clouds,49.6501,-108.4181,Bear's Den Lodge
613,Oyonnax,FR,14.48,overcast clouds,46.2592,5.6573,Buffet SARL
614,Rio Gallegos,AR,8.03,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
615,Yukhnov,RU,5.96,overcast clouds,54.7444,35.2297,Yukhnovgrad
616,North Bend,US,10.95,fog,43.4065,-124.2243,Red Lion Hotel Coos Bay
618,Bonnyville,CA,7.62,overcast clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
619,Bure,ET,13.88,moderate rain,10.7,37.0667,Holiday
623,Izumo,JP,18.97,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
627,Broome,US,14.45,light rain,42.2506,-75.833,Chenango Valley State Park
631,Ucluelet,CA,11.17,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
634,Whitehorse,CA,7.43,shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
638,Sorland,NO,11.92,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
639,Nampa,US,19.64,clear sky,43.5407,-116.5635,Nampa Downtown
642,Yuncheng,CN,19.93,broken clouds,35.0231,110.9928,晋州快捷酒店
643,Margate,GB,16.06,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
652,Opotiki,NZ,8.55,overcast clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
655,Eaglesham,GB,13.2,broken clouds,55.7412,-4.2746,Best Western Glasgow South Eglinton Arms Hotel
659,Oksovskiy,RU,5.63,overcast clouds,62.6062,39.8984,Hotel Severoonezhsk
661,Paramonga,PE,18.05,overcast clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
663,Victor Harbor,AU,12.78,overcast clouds,-35.5667,138.6167,McCracken Country Club
669,Krasnotorka,UA,13.38,clear sky,48.682,37.5327,Pansionat Paradiz
670,Lipetsk,RU,7.43,light rain,52.6031,39.5708,Mercure Lipetsk Center
676,Rena,NO,10.79,overcast clouds,61.1348,11.3641,Trudvang Apartment Hotel
678,Seoul,KR,17.69,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
680,Falam,MM,16.93,overcast clouds,22.9167,93.6833,Falang Government Guesthouse
682,Wurzen,DE,18.12,scattered clouds,51.3667,12.7333,Hotel Zur Post
684,La Ronge,CA,9.14,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
687,Charters Towers,AU,19.48,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
688,Sisimiut,GL,5.31,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
696,Khromtau,KZ,13.19,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
